icao24,ground_icao,ground_iata,ground_city,prev_dep_icao,prev_arr_icao,next_dep_icao,next_arr_icao,prev_arr_time_unix,next_dep_time_unix,prev_arr_time_utc,next_dep_time_utc,turnaround_min
c07566,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1756817519,1756957809,2025-09-02T12:51:59+00:00,2025-09-04T03:50:09+00:00,2338
c07566,CYYC,YYC,Calgary,CYEG,CYYC,CYYC,CYEG,1756960465,1757419944,2025-09-04T04:34:25+00:00,2025-09-09T12:12:24+00:00,7657
c07566,CYEG,YEG,Edmonton,CYYC,CYEG,CYEG,CYYC,1757422216,1757529764,2025-09-09T12:50:16+00:00,2025-09-10T18:42:44+00:00,1792
c01d2d,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYYZ,1756791351,1756797181,2025-09-02T05:35:51+00:00,2025-09-02T07:13:01+00:00,97
c01d2d,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYVR,1756809958,1757038384,2025-09-02T10:45:58+00:00,2025-09-05T02:13:04+00:00,3807
c01d2d,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYZ,1757055466,1757060371,2025-09-05T06:57:46+00:00,2025-09-05T08:19:31+00:00,81
c01d2d,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYYC,1757075369,1757082259,2025-09-05T12:29:29+00:00,2025-09-05T14:24:19+00:00,114
c01d2d,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYYZ,1757138608,1757143120,2025-09-06T06:03:28+00:00,2025-09-06T07:18:40+00:00,75
c01d2d,CYYZ,YYZ,Toronto,CYVR,CYYZ,CYYZ,CYYC,1757158056,1757210701,2025-09-06T11:27:36+00:00,2025-09-07T02:05:01+00:00,877
c01d2d,CYYC,YYC,Calgary,CYYZ,CYYC,CYYC,CYYZ,1757224867,1757229270,2025-09-07T06:01:07+00:00,2025-09-07T07:14:30+00:00,73
c01d2d,CYYZ,YYZ,Toronto,CYYC,CYYZ,CYYZ,CYVR,1757241735,1757253633,2025-09-07T10:42:15+00:00,2025-09-07T14:00:33+00:00,198
c00741,CYVR,YVR,Vancouver,CYYZ,CYVR,CYVR,CYEG,1756853654,1756862519,2025-09-02T22:54:14+00:00,2025-09-03T01:21:59+00:00,147
